Devices
2000
,,pelvis - accel,,,pelvis - gyro,,,pelvis - mag,,,pelvis - Global Angle,,,pelvis - HighG,,,tibia - accel,,,tibia - gyro,,,tibia - mag,,,tibia - Global Angle,,,tibia - HighG,,,
Frame,Sub Frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
,,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,mm/s²,deg/s,deg/s,deg/s,T,T,T,deg,deg,deg,mm/s²,mm/s²,mm/s²
4,19,9562.11,-1955.12,-175.822,1.20192,0.806798,-0.507312,1.91282e-05,-1.9265e-05,-1.72437e-05,0,0,0,0,0,0,9059.5,-1119.16,3522.96,1.37289,0.961115,0.0311694,0,0,0,0,0,0,0,0,0
5,0,9566.06,-1957.87,-168.767,1.16685,0.846808,-0.587785,1.91627e-05,-1.93598e-05,-1.71747e-05,0,0,0,0,0,0,9063.42,-1150.27,3526.77,1.28142,1.03734,-0.0159728,0,0,0,0,0,0,0,0,0
5,1,9581.25,-1975.15,-192.326,1.25524,0.881875,-0.692983,1.91971e-05,-1.94546e-05,-1.71057e-05,0,0,0,0,0,0,9069.72,-1138.36,3557.82,1.18273,1.11629,-0.0361609,0,0,0,0,0,0,0,0,0
5,2,9595.63,-1987.37,-200.231,1.32629,0.89587,-0.756041,1.92316e-05,-1.95494e-05,-1.70368e-05,0,0,0,0,0,0,9071.6,-1121.53,3573.98,1.11207,1.1639,-0.0542985,0,0,0,0,0,0,0,0,0
5,3,9607.18,-1981.83,-153.343,1.33667,0.83612,-0.671606,1.92661e-05,-1.96443e-05,-1.69678e-05,0,0,0,0,0,0,9058,-1087.47,3538.04,1.13947,1.10185,-0.0652589,0,0,0,0,0,0,0,0,0
5,4,9618.49,-1955.9,-136.68,1.25618,0.858016,-0.621073,1.93006e-05,-1.97391e-05,-1.68989e-05,0,0,0,0,0,0,9067.17,-1067.85,3510.2,1.15918,0.984033,-0.0749561,0,0,0,0,0,0,0,0,0
5,5,9629.5,-1904.49,-157.798,1.06209,0.98197,-0.612918,1.93351e-05,-1.98339e-05,-1.68299e-05,0,0,0,0,0,0,9104.79,-1066.26,3492.49,1.16928,0.796511,-0.0830745,0,0,0,0,0,0,0,0,0
5,6,9621.46,-1892.21,-186.644,1.07773,0.940318,-0.65432,1.93695e-05,-1.99287e-05,-1.67609e-05,0,0,0,0,0,0,9143.51,-1083.12,3505.08,1.14479,0.742844,-0.035045,0,0,0,0,0,0,0,0,0
5,7,9603.9,-1899.5,-219.355,1.19824,0.815862,-0.7205,1.9404e-05,-2.00235e-05,-1.6692e-05,0,0,0,0,0,0,9182.78,-1109.19,3532.84,1.103,0.756106,0.0410584,0,0,0,0,0,0,0,0,0
5,8,9573.03,-1917.17,-198.063,1.21601,0.587136,-0.45939,1.94385e-05,-2.01184e-05,-1.6623e-05,0,0,0,0,0,0,9160.52,-1111.72,3541.52,1.24808,0.749784,0.0857772,0,0,0,0,0,0,0,0,0
5,9,9549.12,-1931.39,-175.145,1.2506,0.383353,-0.213345,1.9473e-05,-2.02132e-05,-1.65541e-05,0,0,0,0,0,0,9133.78,-1112.48,3545.21,1.40247,0.730438,0.124416,0,0,0,0,0,0,0,0,0
5,10,9594.21,-1907.55,-193.221,1.52244,0.483384,-0.415113,1.95075e-05,-2.0308e-05,-1.64851e-05,0,0,0,0,0,0,9132.69,-1122.61,3528.03,1.44447,0.626479,0.1458,0,0,0,0,0,0,0,0,0
5,11,9613.65,-1898.11,-189.151,1.57972,0.573779,-0.562307,1.95419e-05,-2.04028e-05,-1.64161e-05,0,0,0,0,0,0,9131.25,-1127.4,3516.93,1.46677,0.587659,0.171607,0,0,0,0,0,0,0,0,0
5,12,9581.8,-1917.45,-140.789,1.20789,0.644904,-0.600351,1.95764e-05,-2.04976e-05,-1.63472e-05,0,0,0,0,0,0,9129.11,-1121.53,3518.02,1.44966,0.679118,0.20626,0,0,0,0,0,0,0,0,0
